year,level_1,level_2,value
1983,Total,Grooms Aged Under 20 Years,96
1983,Total,Grooms Aged 20-24 Years,4348
1983,Total,Grooms Aged 25-29 Years,8066
1983,Total,Grooms Aged 30-34 Years,3157
1983,Total,Grooms Aged 35-39 Years,825
1983,Total,Grooms Aged 40-44 Years,299
1983,Total,Grooms Aged 45-49 Years,159
1983,Total,Grooms Aged 50-54 Years,90
1983,Total,Grooms Aged 55-59 Years,36
1983,Total,Grooms Aged 60 Years & Over,41
1983,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,65
1983,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,811
1983,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,417
1983,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,48
1983,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,4
1983,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,1
1983,Brides Aged Under 20 Years,Grooms Aged 45-49 Years,0
1983,Brides Aged Under 20 Years,Grooms Aged 50-54 Years,0
1983,Brides Aged Under 20 Years,Grooms Aged 55-59 Years,0
1983,Brides Aged Under 20 Years,Grooms Aged 60 Years & Over,0
1983,Brides Aged 20-24 Years,Grooms Aged Under 20 Years,29
1983,Brides Aged 20-24 Years,Grooms Aged 20-24 Years,3148
1983,Brides Aged 20-24 Years,Grooms Aged 25-29 Years,4175
1983,Brides Aged 20-24 Years,Grooms Aged 30-34 Years,820
1983,Brides Aged 20-24 Years,Grooms Aged 35-39 Years,110
1983,Brides Aged 20-24 Years,Grooms Aged 40-44 Years,26
1983,Brides Aged 20-24 Years,Grooms Aged 45-49 Years,7
1983,Brides Aged 20-24 Years,Grooms Aged 50-54 Years,3
1983,Brides Aged 20-24 Years,Grooms Aged 55-59 Years,1
1983,Brides Aged 20-24 Years,Grooms Aged 60 Years & Over,1
1983,Brides Aged 25-29 Years,Grooms Aged Under 20 Years,2
1983,Brides Aged 25-29 Years,Grooms Aged 20-24 Years,351
1983,Brides Aged 25-29 Years,Grooms Aged 25-29 Years,3196
1983,Brides Aged 25-29 Years,Grooms Aged 30-34 Years,1571
1983,Brides Aged 25-29 Years,Grooms Aged 35-39 Years,264
1983,Brides Aged 25-29 Years,Grooms Aged 40-44 Years,66
1983,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,18
1983,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,8
1983,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,3
1983,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,2
1983,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1983,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,30
1983,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,247
1983,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,630
1983,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,304
1983,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,89
1983,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,47
1983,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,12
1983,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,7
